ID: 1, Timestamp: 1735480692167, Memory Free: 51, CPU Threads Free: 2, RAM Free: 25
ID: 2, Timestamp: 1735480692167, Memory Free: 51, CPU Threads Free: 5, RAM Free: 13
ID: 3, Timestamp: 1735480692167, Memory Free: 51, CPU Threads Free: 4, RAM Free: 14
ID: 1, Timestamp: 1735480702167, Memory Free: 51, CPU Threads Free: 2, RAM Free: 25
ID: 2, Timestamp: 1735480702167, Memory Free: 51, CPU Threads Free: 5, RAM Free: 1
ID: 3, Timestamp: 1735480702167, Memory Free: 51, CPU Threads Free: 2, RAM Free: 15
ID: 1, Timestamp: 1735480712167, Memory Free: 51, CPU Threads Free: 4, RAM Free: 15
ID: 2, Timestamp: 1735480712167, Memory Free: 51, CPU Threads Free: 1, RAM Free: 19
ID: 3, Timestamp: 1735480712167, Memory Free: 51, CPU Threads Free: 3, RAM Free: 12
ID: 1, Timestamp: 1735480722167, Memory Free: 51, CPU Threads Free: 5, RAM Free: 27
ID: 2, Timestamp: 1735480722167, Memory Free: 51, CPU Threads Free: 5, RAM Free: 16
ID: 3, Timestamp: 1735480722167, Memory Free: 51, CPU Threads Free: 5, RAM Free: 0
ID: 1, Timestamp: 1735480732167, Memory Free: 51, CPU Threads Free: 2, RAM Free: 15
ID: 2, Timestamp: 1735480732167, Memory Free: 51, CPU Threads Free: 6, RAM Free: 10
ID: 3, Timestamp: 1735480732167, Memory Free: 51, CPU Threads Free: 4, RAM Free: 9
ID: 1, Timestamp: 1735480742167, Memory Free: 51, CPU Threads Free: 1, RAM Free: 13
ID: 2, Timestamp: 1735480742167, Memory Free: 51, CPU Threads Free: 0, RAM Free: 18
ID: 3, Timestamp: 1735480742167, Memory Free: 51, CPU Threads Free: 2, RAM Free: 0
ID: 1, Timestamp: 1735480752167, Memory Free: 51, CPU Threads Free: 2, RAM Free: 29
ID: 2, Timestamp: 1735480752167, Memory Free: 51, CPU Threads Free: 2, RAM Free: 30
ID: 3, Timestamp: 1735480752167, Memory Free: 51, CPU Threads Free: 2, RAM Free: 9
ID: 1, Timestamp: 1735480762167, Memory Free: 51, CPU Threads Free: 6, RAM Free: 28
ID: 2, Timestamp: 1735480762167, Memory Free: 51, CPU Threads Free: 5, RAM Free: 21
ID: 3, Timestamp: 1735480762167, Memory Free: 51, CPU Threads Free: 7, RAM Free: 13
ID: 1, Timestamp: 1735480772167, Memory Free: 51, CPU Threads Free: 4, RAM Free: 27
ID: 2, Timestamp: 1735480772167, Memory Free: 51, CPU Threads Free: 3, RAM Free: 19
ID: 3, Timestamp: 1735480772167, Memory Free: 51, CPU Threads Free: 5, RAM Free: 30
ID: 1, Timestamp: 1735480782167, Memory Free: 51, CPU Threads Free: 7, RAM Free: 30
ID: 2, Timestamp: 1735480782167, Memory Free: 51, CPU Threads Free: 2, RAM Free: 27
ID: 3, Timestamp: 1735480782167, Memory Free: 51, CPU Threads Free: 4, RAM Free: 6
ID: 1, Timestamp: 1735480792167, Memory Free: 51, CPU Threads Free: 4, RAM Free: 22
ID: 2, Timestamp: 1735480792167, Memory Free: 51, CPU Threads Free: 3, RAM Free: 17
ID: 3, Timestamp: 1735480792167, Memory Free: 51, CPU Threads Free: 5, RAM Free: 30
ID: 1, Timestamp: 1735480802167, Memory Free: 51, CPU Threads Free: 0, RAM Free: 3
ID: 2, Timestamp: 1735480802167, Memory Free: 51, CPU Threads Free: 6, RAM Free: 6
ID: 3, Timestamp: 1735480802167, Memory Free: 51, CPU Threads Free: 0, RAM Free: 6
ID: 1, Timestamp: 1735480812167, Memory Free: 51, CPU Threads Free: 7, RAM Free: 16
ID: 2, Timestamp: 1735480812167, Memory Free: 51, CPU Threads Free: 4, RAM Free: 22
ID: 3, Timestamp: 1735480812167, Memory Free: 51, CPU Threads Free: 6, RAM Free: 20
ID: 1, Timestamp: 1735480822167, Memory Free: 51, CPU Threads Free: 7, RAM Free: 6
ID: 2, Timestamp: 1735480822167, Memory Free: 51, CPU Threads Free: 5, RAM Free: 28
ID: 3, Timestamp: 1735480822167, Memory Free: 51, CPU Threads Free: 0, RAM Free: 17
ID: 1, Timestamp: 1735480832167, Memory Free: 51, CPU Threads Free: 4, RAM Free: 7
ID: 2, Timestamp: 1735480832167, Memory Free: 51, CPU Threads Free: 0, RAM Free: 5
ID: 3, Timestamp: 1735480832167, Memory Free: 51, CPU Threads Free: 7, RAM Free: 30
ID: 1, Timestamp: 1735480842167, Memory Free: 51, CPU Threads Free: 2, RAM Free: 27
ID: 2, Timestamp: 1735480842167, Memory Free: 51, CPU Threads Free: 5, RAM Free: 21
ID: 3, Timestamp: 1735480842167, Memory Free: 51, CPU Threads Free: 4, RAM Free: 3
ID: 1, Timestamp: 1735480852167, Memory Free: 51, CPU Threads Free: 0, RAM Free: 13
ID: 2, Timestamp: 1735480852167, Memory Free: 51, CPU Threads Free: 6, RAM Free: 11
ID: 3, Timestamp: 1735480852167, Memory Free: 51, CPU Threads Free: 0, RAM Free: 29
ID: 1, Timestamp: 1735480862167, Memory Free: 51, CPU Threads Free: 7, RAM Free: 21
ID: 2, Timestamp: 1735480862167, Memory Free: 51, CPU Threads Free: 3, RAM Free: 1
ID: 3, Timestamp: 1735480862167, Memory Free: 51, CPU Threads Free: 7, RAM Free: 4
ID: 1, Timestamp: 1735480872167, Memory Free: 51, CPU Threads Free: 6, RAM Free: 18
ID: 2, Timestamp: 1735480872167, Memory Free: 51, CPU Threads Free: 0, RAM Free: 0
ID: 3, Timestamp: 1735480872167, Memory Free: 51, CPU Threads Free: 0, RAM Free: 27
