1735480576899,51,2,98
1735480580436,51,2,98
1735480582679,51,1,99
1735480585967,51,0,100
1735480586364,51,3,97
1735480586899,51,3,97
1735480590436,51,1,99
1735480592679,51,1,99
1735480595967,51,0,100
1735480596364,51,2,98
1735480596899,51,3,97
1735480600436,51,2,98
1735480602679,51,0,100
1735480605967,51,3,97
1735480606364,51,3,97
1735480606899,51,0,100
1735480610436,51,2,98
1735480612679,51,3,97
1735480615967,51,4,96
1735480616364,51,1,99
1735480616899,51,1,99
1735480620436,51,3,97
1735480622679,51,0,100
1735480625967,51,4,96
1735480626364,51,1,99
1735480626899,51,1,99
1735480630436,51,4,96
1735480632679,51,3,97
1735480635967,51,3,97
1735480636364,51,1,99
1735480636899,51,1,99
1735480640436,51,1,99
1735480642679,51,4,96
1735480645967,51,1,99
1735480646364,51,1,99
1735480646899,51,2,98
1735480650436,51,3,97
1735480652679,51,2,98
1735480655967,51,3,97
1735480656364,51,1,99
1735480656899,51,4,96
1735480660436,51,1,99
1735480662679,51,4,96
1735480665967,51,1,99
1735480666364,51,4,96
1735480666899,51,1,99
1735480670436,51,1,99
1735480672679,51,2,98
1735480675967,51,2,98
1735480676364,51,3,97
1735480676899,51,0,100
1735480680436,51,4,96
1735480682679,51,1,99
1735480685967,51,2,98
1735480686364,51,4,96
1735480686899,51,1,99
1735480690436,51,1,99
1735480692679,51,1,99
1735480695967,51,0,100
1735480696364,51,2,98
1735480696899,51,3,97
1735480700436,51,2,98
1735480702679,51,1,99
1735480705967,51,2,98
1735480706364,51,2,98
1735480706899,51,3,97
1735480710436,51,4,96
1735480712679,51,3,97
1735480715967,51,0,100
1735480716364,51,3,97
1735480716899,51,4,96
1735480720436,51,3,97
1735480722679,51,3,97
1735480725967,51,2,98
1735480726364,51,3,97
1735480726899,51,2,98
1735480730436,51,2,98
1735480732679,51,3,97
1735480735967,51,2,98
1735480736364,51,3,97
1735480736899,51,2,98
1735480740436,51,1,99
1735480742679,51,4,96
1735480745967,51,0,100
1735480746364,51,3,97
1735480746899,51,4,96
1735480750436,51,3,97
1735480752679,51,3,97
1735480755967,51,3,97
1735480756364,51,2,98
1735480756899,51,2,98
1735480760436,51,2,98
1735480762679,51,3,97
1735480765967,51,4,96
1735480766364,51,4,96
1735480766899,51,4,96
1735480770436,51,4,96
1735480772679,51,0,100
1735480775967,51,0,100
1735480776364,51,1,99
1735480776899,51,0,100
1735480780436,51,1,99
1735480782679,51,4,96
1735480785967,51,3,97
1735480786364,51,1,99
1735480786899,51,1,99
1735480790436,51,2,98
1735480792679,51,1,99
1735480795967,51,4,96
1735480796364,51,0,100
1735480796899,51,3,97
1735480800436,51,3,97
1735480802679,51,3,97
1735480805967,51,1,99
1735480806364,51,2,98
1735480806899,51,3,97
1735480810436,51,2,98
1735480812679,51,0,100
1735480815967,51,0,100
1735480816364,51,3,97
1735480816899,51,3,97
1735480820436,51,4,96
1735480822679,51,0,100
1735480825967,51,1,99
1735480826364,51,3,97
1735480826899,51,0,100
1735480830436,51,4,96
1735480832679,51,0,100
1735480835967,51,4,96
1735480836364,51,3,97
1735480836899,51,4,96
1735480840436,51,3,97
1735480842679,51,4,96
1735480845967,51,4,96
1735480846364,51,2,98
1735480846899,51,4,96
1735480850436,51,4,96
1735480852679,51,1,99
1735480855967,51,0,100
1735480856364,51,2,98
1735480856899,51,2,98
1735480860436,51,2,98
1735480862679,51,0,100
1735480865967,51,1,99
1735480866364,51,3,97
1735480866899,51,4,96
1735480870436,51,2,98
1735480872679,51,3,97
